sheet,excel_row,story_id,online_grade_code,online_lesson_number,new_code,old_code,title,label,note
(線上),0,11,G5-L11,11,,,拳力出擊──陳念琴,線上多出,"與 story_id=1038（G5-L11 「拳」力出擊──陳念琴）正規化後同碼 ('G5', 11, '')，屬既有 DB 重複資料（補零/不補零兩筆），已由另一筆對應二修總表，此筆非二修新增或下架。"
(線上),0,13,G5-L12,13,,,六塊肌六塊雞,線上多出,"與 story_id=1039（G5-L12 六塊肌、六塊雞）正規化後同碼 ('G5', 12, '')，屬既有 DB 重複資料（補零/不補零兩筆），已由另一筆對應二修總表，此筆非二修新增或下架。"
(線上),0,14,G6-L01,14,,,運動傷害，怎麼辦,線上多出,"與 story_id=1055（G6-L1 運動傷害，怎麼辦？）正規化後同碼 ('G6', 1, '')，屬既有 DB 重複資料（補零/不補零兩筆），已由另一筆對應二修總表，此筆非二修新增或下架。"
(線上),0,24,G6-L03,24,,,昆蟲會思考嗎？,線上多出,"與 story_id=1057（G6-L3 昆蟲會思考嗎?）正規化後同碼 ('G6', 3, '')，屬既有 DB 重複資料（補零/不補零兩筆），已由另一筆對應二修總表，此筆非二修新增或下架。"
(線上),0,27,G6-L18,27,,,把手上的餅吃香一點,線上多出,"與 story_id=1072（G6-L18 把手上的餅吃香一點！）正規化後同碼 ('G6', 18, '')，屬既有 DB 重複資料（補零/不補零兩筆），已由另一筆對應二修總表，此筆非二修新增或下架。"
(線上),0,35,G7-L15,35,,,看到了嗎，然後呢,線上多出,"與 story_id=1094（G7-L15 看到了嗎？然後呢？）正規化後同碼 ('G7', 15, '')，屬既有 DB 重複資料（補零/不補零兩筆），已由另一筆對應二修總表，此筆非二修新增或下架。"
(線上),0,38,G7-L07,38,,,你看見時代的灰犀牛了嗎談人口負成長,線上多出,"與 story_id=1086（G7-L7 你看見時代的灰犀牛了嗎？談人口負成長）正規化後同碼 ('G7', 7, '')，屬既有 DB 重複資料（補零/不補零兩筆），已由另一筆對應二修總表，此筆非二修新增或下架。"
(線上),0,45,文-L02,45,,,文言文怎麼讀？以鞭虎救弟記為例,線上多出,"與 story_id=1150（文-L2 文言文怎麼讀？-以「鞭虎救弟記」為例）正規化後同碼 ('文', 2, '')，屬既有 DB 重複資料（補零/不補零兩筆），已由另一筆對應二修總表，此筆非二修新增或下架。"
(線上),0,55,G9-L10,55,,,高地訓練有助於運動表現嗎？,線上多出,"與 story_id=1139（G9-L10 高地訓練有助於運動表現嗎?）正規化後同碼 ('G9', 10, '')，屬既有 DB 重複資料（補零/不補零兩筆），已由另一筆對應二修總表，此筆非二修新增或下架。"
(線上),0,1140,G9-L11,1140,,,見前人所未見—達爾文與長喙天蛾的故事,線上多出,"總表/體育/文言三個 sheet 都找不到對得上的 (年級,課次) 或課名，需人工確認是否為總表未列的既有教材。"
(線上),0,1149,文-L1,1149,,,這是假新聞嗎？--以「鞭虎救弟記」為例,線上多出,"與 story_id=44（文-L01 假新聞？鞭虎救弟記）正規化後同碼 ('文', 1, '')，屬既有 DB 重複資料（補零/不補零兩筆），已由另一筆對應二修總表，此筆非二修新增或下架。"
